    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
34     596.192436     16.627559         2.624506        0.277768               64           20            adam     {'batch_size': 64, 'epochs': 20, 'optimizer': 'adam'}           0.696858           0.680222           0.639556           0.672828           0.682070         0.674307        0.019045                1            0.981516            0.978743            0.979205            0.975508            0.979667          0.978928         0.001952
13     380.391338      5.678779         3.314225        0.276894               16           10            adam     {'batch_size': 16, 'epochs': 10, 'optimizer': 'adam'}           0.670980           0.674677           0.646950           0.709797           0.663586         0.673198        0.020630                2            0.956100            0.958872            0.958410            0.955638            0.956562          0.957116         0.001287
33     630.504968      6.911764         2.738081        0.284659               64           20         rmsprop  {'batch_size': 64, 'epochs': 20, 'optimizer': 'rmsprop'}           0.683919           0.680222           0.661738           0.709797           0.628466         0.672828        0.026964                3            0.981054            0.979205            0.972274            0.971349            0.967190          0.974214         0.005157
22     418.114303     18.846496         3.757579        0.541522               32           10            adam     {'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}           0.667283           0.687616           0.645102           0.683919           0.663586         0.669501        0.015305                4            0.967652            0.965342            0.958872            0.956562            0.954251          0.960536         0.005134
21     432.057350     10.507170         3.009745        0.277375               32           10         rmsprop  {'batch_size': 32, 'epochs': 10, 'optimizer': 'rmsprop'}           0.663586           0.685767           0.646950           0.680222           0.669131         0.669131        0.013583                5            0.958410            0.949630            0.951479            0.956562            0.959335          0.955083         0.003849
12     415.415099      9.997856         2.956607        0.399558               16           10         rmsprop  {'batch_size': 16, 'epochs': 10, 'optimizer': 'rmsprop'}           0.669131           0.661738           0.652495           0.687616           0.654344         0.665065        0.012721                6            0.939926            0.908041            0.936229            0.922828            0.932532          0.927911         0.011451
15     960.703732     45.640226         3.209388        0.088728               16           20         rmsprop  {'batch_size': 16, 'epochs': 20, 'optimizer': 'rmsprop'}           0.661738           0.678373           0.632163           0.682070           0.659889         0.662847        0.017675                7            0.971349            0.963031            0.968577            0.971811            0.963494          0.967652         0.003754
24     760.976011      8.951654         3.565115        0.464757               32           20         rmsprop  {'batch_size': 32, 'epochs': 20, 'optimizer': 'rmsprop'}           0.656192           0.667283           0.645102           0.674677           0.646950         0.658041        0.011454                8            0.978743            0.975970            0.977819            0.975508            0.970887          0.975786         0.002720
4      524.019166     17.294339         3.415774        0.508558                8           10            adam      {'batch_size': 8, 'epochs': 10, 'optimizer': 'adam'}           0.685767           0.648799           0.628466           0.676525           0.639556         0.655823        0.021852                9            0.864140            0.863216            0.861368            0.853512            0.877542          0.863956         0.007758
25     795.588870      5.867006         3.303561        0.430796               32           20            adam     {'batch_size': 32, 'epochs': 20, 'optimizer': 'adam'}           0.652495           0.648799           0.641405           0.674677           0.654344         0.654344        0.011091               10            0.982440            0.975046            0.978743            0.973660            0.975970          0.977172         0.003115
6     1149.655095     14.020029         3.429243        0.338277                8           20         rmsprop   {'batch_size': 8, 'epochs': 20, 'optimizer': 'rmsprop'}           0.645102           0.650647           0.630314           0.685767           0.654344         0.653235        0.018209               11            0.894177            0.866913            0.902495            0.896026            0.890481          0.890018         0.012191
