    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
9      297.665490     14.219179         8.015346        0.728931               32            5         rmsprop   {'batch_size': 32, 'epochs': 5, 'optimizer': 'rmsprop'}           0.667283           0.667283           0.615527           0.659889           0.659889         0.653974        0.019506                1            0.832255            0.857671            0.838262            0.853050            0.855360          0.847320         0.010135
19     187.574156      5.976514         4.896240        0.627043               64            5            adam      {'batch_size': 64, 'epochs': 5, 'optimizer': 'adam'}           0.650647           0.635860           0.613678           0.680222           0.632163         0.642514        0.022230                2            0.829482            0.840573            0.866913            0.884935            0.839187          0.852218         0.020536
10     298.290498     10.667993         7.147280        0.755881               32            5            adam      {'batch_size': 32, 'epochs': 5, 'optimizer': 'adam'}           0.648799           0.597043           0.628466           0.678373           0.650647         0.640665        0.026979                3            0.876617            0.850277            0.896950            0.889556            0.919131          0.886506         0.022773
0      228.804840     50.283732         3.270531        1.684505               16            5         rmsprop   {'batch_size': 16, 'epochs': 5, 'optimizer': 'rmsprop'}           0.608133           0.665434           0.628466           0.650647           0.648799         0.640296        0.019929                4            0.780499            0.854436            0.865527            0.830407            0.863678          0.838909         0.031771
13     573.357641     11.690275         6.898611        1.075763               32           10            adam     {'batch_size': 32, 'epochs': 10, 'optimizer': 'adam'}           0.634011           0.628466           0.609982           0.658041           0.626617         0.631423        0.015536                5            0.940850            0.953327            0.965342            0.948244            0.953789          0.952311         0.008011
4      786.403961     21.603996         5.674489        1.175065               16           10            adam     {'batch_size': 16, 'epochs': 10, 'optimizer': 'adam'}           0.639556           0.648799           0.585952           0.646950           0.621072         0.628466        0.023410                6            0.969039            0.949168            0.909889            0.940850            0.939002          0.941590         0.019095
22     358.140762      4.035088         4.815632        0.740911               64           10            adam     {'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}           0.637708           0.637708           0.574861           0.648799           0.624769         0.624769        0.026088                7            0.951479            0.929760            0.877542            0.957024            0.952403          0.933641         0.029594
7     1462.018108     15.771038         6.910020        0.847715               16           20            adam     {'batch_size': 16, 'epochs': 20, 'optimizer': 'adam'}           0.619224           0.635860           0.598891           0.650647           0.606285         0.622181        0.018980                8            0.977819            0.982902            0.977357            0.972274            0.959335          0.973937         0.008039
25     614.389933     22.188950         4.583795        0.626060               64           20            adam     {'batch_size': 64, 'epochs': 20, 'optimizer': 'adam'}           0.637708           0.628466           0.598891           0.645102           0.600739         0.622181        0.019016                8            0.954713            0.975046            0.976895            0.977357            0.906192          0.958041         0.027266
1      394.365344     67.776334         6.963720        1.007539               16            5            adam      {'batch_size': 16, 'epochs': 5, 'optimizer': 'adam'}           0.667283           0.635860           0.606285           0.545287           0.641405         0.619224        0.041743               10            0.924214            0.890018            0.897412            0.564233            0.899261          0.835028         0.135887
16    1094.142986     15.263133         6.752941        1.678608               32           20            adam     {'batch_size': 32, 'epochs': 20, 'optimizer': 'adam'}           0.619224           0.609982           0.604436           0.646950           0.604436         0.617006        0.015918               11            0.980129            0.962569            0.974584            0.975970            0.975046          0.973660         0.005882
21     362.487624      7.386987         5.290860        0.793724               64           10         rmsprop  {'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}           0.670980           0.667283           0.388170           0.670980           0.641405         0.607763        0.110352               12            0.920055            0.923290            0.404806            0.915896            0.929298          0.818669         0.206978
12     533.009981     18.202786         7.271639        0.681639               32           10         rmsprop  {'batch_size': 32, 'epochs': 10, 'optimizer': 'rmsprop'}           0.676525           0.658041           0.314233           0.667283           0.641405         0.591497        0.139117               13            0.932532            0.917745            0.283734            0.927911            0.920055          0.796396         0.256386
15    1176.051100     40.944616         6.294432        1.648037               32           20         rmsprop  {'batch_size': 32, 'epochs': 20, 'optimizer': 'rmsprop'}           0.622921           0.375231           0.630314           0.635860           0.641405         0.581146        0.103139               14            0.968115            0.408041            0.974584            0.927911            0.965804          0.848891         0.221032
3      881.215454      2.842105         9.059378        2.111610               16           10         rmsprop  {'batch_size': 16, 'epochs': 10, 'optimizer': 'rmsprop'}           0.659889           0.375231           0.613678           0.619224           0.402957         0.534196        0.119866               15            0.909427            0.408041            0.929760            0.822551            0.401109          0.694177         0.239196
6     1521.172731     44.852111         6.935134        0.959023               16           20         rmsprop  {'batch_size': 16, 'epochs': 20, 'optimizer': 'rmsprop'}           0.319778           0.652495           0.617375           0.646950           0.402957         0.527911        0.139017               16            0.306377            0.955176            0.954251            0.966266            0.401109          0.716636         0.297841
24     641.212870     29.624395         5.006357        0.764848               64           20         rmsprop  {'batch_size': 64, 'epochs': 20, 'optimizer': 'rmsprop'}           0.404806           0.652495           0.632163           0.436229           0.402957         0.505730        0.112342               17            0.400647            0.974584            0.968115            0.392791            0.401109          0.627449         0.280816
